LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1204
Segment,TrigTime,TimeSinceSegment1
#1,01-Dec-2012 06:50:25,0                 
Time,Ampl
998796,-1.2674e-010
998797,-3.25245e-011
998798,-1.65588e-010
998799,-1.77868e-010
998800,-1.14093e-010
998801,-2.27672e-010
998802,-1.43995e-010
998803,-1.32868e-010
998804,-1.55343e-010
998805,-1.55123e-010
998806,-1.92304e-010
998807,-2.14681e-010
998808,-1.23039e-010
998809,-1.50931e-010
998810,-2.47549e-010
998811,-1.59706e-010
998812,-1.6826e-010
998813,-1.76838e-010
998814,-2.26128e-010
998815,-1.25637e-010
998816,-1.34877e-010
998817,-1.35882e-010
998818,-1.73848e-010
998819,-9.10294e-011
998820,-1.58113e-010
998821,-1.51177e-010
998822,-1.32034e-010
998823,-1.89951e-010
998824,-1.58137e-010
998825,-1.77623e-010
998826,-1.65466e-010
998827,-2.4076e-010
998828,-1.68775e-010
998829,-1.6902e-010
998830,-8.99755e-011
998831,-1.62574e-010
998832,-5.25466e-010
998833,-2.1701e-010
998834,-1.19632e-010
998835,-1.78162e-010
998836,-2.74314e-010
998837,-1.08554e-010
998838,-1.85809e-010
998839,-1.32843e-010
998840,-1.46127e-010
998841,-1.09804e-010
998842,-2.42892e-010
998843,-1.62402e-010
998844,-1.14461e-010
998845,-1.4527e-010
998846,-1.75074e-010
998847,-1.59142e-010
998848,-1.54069e-010
998849,-1.94853e-010
998850,-1.15588e-010
998851,-1.8223e-010
998852,-1.35662e-010
998853,-1.79289e-010
998854,-2.27672e-010
998855,-1.91152e-010
998856,-4.35883e-010
998857,-2.35172e-010
998858,-1.75956e-010
998859,-3.88333e-010
998860,-1.30686e-010
998861,-1.32672e-010
998862,-1.17132e-010
998863,-1.48456e-010
998864,-1.45613e-010
998865,-1.2674e-010
998866,-2.2527e-010
998867,-1.61912e-010
998868,-1.45049e-010
998869,-1.66029e-010
998870,-1.24069e-010
998871,-2.01005e-010
998872,-1.11422e-010
998873,-1.23627e-010
998874,-1.35588e-010
998875,-1.48211e-010
998876,-1.17549e-010
998877,-1.82941e-010
998878,-3.32231e-010
998879,-1.72034e-010
998880,-1.60858e-010
998881,-1.79657e-010
998882,-1.26226e-010
998883,-1.27696e-010
998884,-1.25466e-010
998885,-1.4402e-010
998886,-2.91544e-010
998887,-1.27623e-010
998888,-1.03137e-010
998889,-8.69608e-011
998890,-1.90784e-010
998891,-1.1e-010
998892,-1.50515e-010
998893,-2.44142e-010
998894,-1.96716e-010
998895,-2.21667e-010
998896,-1.40074e-010
998897,-2.07525e-010
998898,-1.4e-010
998899,-2.24093e-010
998900,-6.84682e-010
998901,-1.31446e-010
998902,-7.75981e-011
998903,-1.88407e-010
998904,-6.96569e-011
998905,-1.90466e-010
998906,-1.38897e-010
998907,-1.58726e-010
998908,-1.22328e-010
998909,-1.22402e-010
998910,-1.38677e-010
998911,-1.46887e-010
998912,-1.57083e-010
998913,-1.53186e-010
998914,-1.20931e-010
998915,-3.05466e-010
998916,-2.61005e-010
998917,-1.95368e-010
998918,-2.08113e-010
998919,-2.33113e-010
