LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1535
Segment,TrigTime,TimeSinceSegment1
#1,02-Dec-2012 09:21:09,0                 
Time,Ampl
998465,-1.76569e-010
998466,-1.07329e-010
998467,-8.42035e-011
998468,-1.57451e-010
998469,-1.91066e-010
998470,-2.19363e-010
998471,-1.19559e-010
998472,-1.89436e-010
998473,-1.41704e-010
998474,-1.74044e-010
998475,-1.48088e-010
998476,-1.37255e-010
998477,-1.31887e-010
998478,-1.6114e-010
998479,-1.88628e-010
998480,-1.64363e-010
998481,-1.81581e-010
998482,-1.71557e-010
998483,-1.66054e-010
998484,-1.39277e-010
998485,-1.42794e-010
998486,-1.75772e-010
998487,-1.84902e-010
998488,-2.04547e-010
998489,-1.51348e-010
998490,-1.42378e-010
998491,-1.79191e-010
998492,-1.54767e-010
998493,-1.2913e-010
998494,-2.03456e-010
998495,-1.76581e-010
998496,-1.34816e-010
998497,-1.66091e-010
998498,-2.05331e-010
998499,-1.7315e-010
998500,-1.70797e-010
998501,-1.62806e-010
998502,-1.47022e-010
998503,-1.41409e-010
998504,-1.88909e-010
998505,-1.53407e-010
998506,-1.45552e-010
998507,-1.57353e-010
998508,-1.9565e-010
998509,-1.46226e-010
998510,-2.06838e-010
998511,-1.52463e-010
998512,-1.28493e-010
998513,-1.04204e-010
998514,-1.67684e-010
998515,-1.35882e-010
998516,-1.619e-010
998517,-1.67427e-010
998518,-1.66287e-010
998519,-1.45588e-010
998520,-1.37843e-010
998521,-1.66667e-010
998522,-1.49608e-010
998523,-1.27157e-010
998524,-1.63885e-010
998525,-1.26985e-010
998526,-1.84498e-010
998527,-1.49596e-010
998528,-1.14436e-010
998529,-1.65637e-010
998530,-1.61961e-010
998531,-1.73591e-010
998532,-1.60123e-010
998533,-1.24277e-010
998534,-1.92341e-010
998535,-1.61814e-010
998536,-1.48346e-010
998537,-1.43272e-010
998538,-1.17586e-010
998539,-1.50723e-010
998540,-1.21789e-010
998541,-1.27929e-010
998542,-1.5614e-010
998543,-1.5864e-010
998544,-1.81826e-010
998545,-1.49167e-010
998546,-1.30086e-010
998547,-1.5788e-010
998548,-1.57451e-010
998549,-1.58873e-010
998550,-1.35858e-010
998551,-1.4739e-010
998552,-1.89792e-010
998553,-1.32892e-010
998554,-1.95245e-010
998555,-1.77169e-010
998556,-1.81544e-010
998557,-1.67194e-010
998558,-1.96753e-010
998559,-1.53309e-010
998560,-1.73787e-010
998561,-1.85123e-010
998562,-1.77341e-010
998563,-1.6924e-010
998564,-1.43064e-010
998565,-1.48946e-010
998566,-1.98579e-010
998567,-1.61422e-010
998568,-1.51924e-010
998569,-1.78775e-010
998570,-1.76569e-010
998571,-1.93762e-010
998572,-1.3636e-010
998573,-1.53787e-010
998574,-1.17034e-010
998575,-1.53628e-010
998576,-1.53848e-010
998577,-1.56998e-010
998578,-1.54167e-010
998579,-1.84204e-010
998580,-1.70601e-010
998581,-1.44289e-010
998582,-1.63983e-010
998583,-1.58689e-010
998584,-1.75331e-010
998585,-1.58333e-010
998586,-1.25576e-010
998587,-1.21495e-010
998588,-1.1875e-010
998589,-1.57549e-010
998590,-1.73897e-010
998591,-1.82108e-010
998592,-1.59865e-010
998593,-1.69204e-010
998594,-1.64191e-010
998595,-1.54865e-010
998596,-1.59473e-010
998597,-1.66299e-010
998598,-1.57341e-010
998599,-1.5375e-010
998600,-1.6451e-010
998601,-1.90625e-010
998602,-1.75049e-010
998603,-1.67414e-010
998604,-1.32206e-010
998605,-1.58321e-010
998606,-1.61005e-010
998607,-1.67378e-010
998608,-1.64314e-010
998609,-1.43039e-010
998610,-1.1674e-010
998611,-1.80392e-010
998612,-1.78983e-010
998613,-1.82561e-010
998614,-1.88517e-010
998615,-1.21495e-010
998616,-1.86164e-010
998617,-1.78934e-010
998618,-1.69277e-010
998619,-1.77157e-010
998620,-1.88738e-010
998621,-1.9799e-010
998622,-1.90392e-010
998623,-1.39093e-010
998624,-1.79767e-010
998625,-1.67721e-010
998626,-2.0989e-010
998627,-1.82623e-010
998628,-2.07133e-010
998629,-1.93799e-010
998630,-2.03958e-010
998631,-1.67451e-010
998632,-1.7924e-010
998633,-1.64179e-010
998634,-1.43713e-010
998635,-1.95233e-010
998636,-1.91226e-010
998637,-1.25576e-010
998638,-1.47598e-010
998639,-1.73983e-010
998640,-1.52819e-010
998641,-1.50392e-010
998642,-1.73481e-010
998643,-1.65478e-010
998644,-1.65833e-010
998645,-1.20098e-010
998646,-1.82794e-010
998647,-1.61054e-010
998648,-1.35821e-010
998649,-9.86153e-011
998650,-1.52083e-010
998651,-1.71409e-010
998652,-1.7799e-010
998653,-1.47071e-010
998654,-1.73958e-010
998655,-1.73677e-010
998656,-1.92807e-010
998657,-1.64547e-010
998658,-1.51667e-010
998659,-1.55784e-010
998660,-1.74081e-010
998661,-1.64914e-010
998662,-1.45552e-010
998663,-2.075e-010
998664,-1.67463e-010
998665,-2.00699e-010
998666,-1.31177e-010
998667,-1.68664e-010
998668,-1.93983e-010
998669,-1.64608e-010
998670,-1.72329e-010
998671,-1.60331e-010
998672,-1.54976e-010
998673,-1.9315e-010
998674,-1.66128e-010
998675,-1.73787e-010
998676,-1.70919e-010
998677,-1.75356e-010
998678,-1.63995e-010
998679,-1.73787e-010
998680,-1.7065e-010
998681,-1.93505e-010
998682,-2.03015e-010
998683,-1.94216e-010
998684,-1.51642e-010
998685,-2.09767e-010
998686,-1.71851e-010
998687,-1.92807e-010
998688,-1.64204e-010
998689,-1.45588e-010
998690,-1.5277e-010
998691,-1.51103e-010
998692,-1.46324e-010
998693,-1.63995e-010
998694,-1.51495e-010
998695,-1.52733e-010
998696,-1.2e-010
998697,-1.57954e-010
998698,-1.06593e-010
998699,-1.92047e-010
998700,-1.85294e-010
998701,-1.67145e-010
998702,-1.81655e-010
998703,-1.52745e-010
998704,-1.43333e-010
998705,-1.28297e-010
998706,-1.6576e-010
998707,-1.16544e-010
998708,-1.66103e-010
998709,-1.86054e-010
998710,-1.62096e-010
998711,-1.64314e-010
998712,-1.40343e-010
998713,-1.30772e-010
998714,-1.67304e-010
998715,-1.41054e-010
998716,-2.14682e-010
998717,-1.30956e-010
998718,-1.21936e-010
998719,-2.03297e-010
998720,-1.48775e-010
998721,-1.58628e-010
998722,-1.57917e-010
998723,-1.68726e-010
998724,-1.89645e-010
998725,-1.64534e-010
998726,-1.81875e-010
998727,-1.73088e-010
998728,-1.79424e-010
998729,-2.01691e-010
998730,-1.62868e-010
998731,-1.42537e-010
998732,-1.92059e-010
998733,-1.39559e-010
998734,-1.79853e-010
998735,-1.79265e-010
998736,-1.40993e-010
998737,-1.4636e-010
998738,-1.50049e-010
998739,-1.55662e-010
998740,-1.66103e-010
998741,-1.76961e-010
998742,-1.87905e-010
998743,-1.24265e-010
998744,-1.44902e-010
998745,-1.48701e-010
998746,-1.75343e-010
998747,-1.71838e-010
998748,-1.65233e-010
998749,-1.46826e-010
998750,-1.67721e-010
998751,-1.52954e-010
998752,-1.26091e-010
998753,-1.46593e-010
998754,-1.76238e-010
998755,-1.48125e-010
998756,-1.25797e-010
998757,-1.75833e-010
998758,-1.60135e-010
998759,-1.74265e-010
998760,-1.95956e-010
998761,-1.6451e-010
998762,-1.43297e-010
998763,-1.86838e-010
998764,-1.74767e-010
998765,-1.34007e-010
998766,-1.01262e-010
998767,-1.70919e-010
998768,-1.43689e-010
998769,-1.60147e-010
998770,-2.20417e-010
998771,-1.89718e-010
998772,-1.83101e-010
998773,-1.32365e-010
998774,-2.10098e-010
998775,-1.37892e-010
998776,-1.58248e-010
998777,-1.69743e-010
998778,-1.42684e-010
998779,-1.7989e-010
998780,-1.72353e-010
998781,-1.60368e-010
998782,-1.58922e-010
998783,-1.37831e-010
998784,-1.58137e-010
998785,-1.50907e-010
