LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1642
Segment,TrigTime,TimeSinceSegment1
#1,01-Dec-2012 09:05:23,0                 
Time,Ampl
998358,-1.1924e-010
998359,-2.19301e-010
998360,-1.8701e-010
998361,-1.89399e-010
998362,-1.69301e-010
998363,-1.60723e-010
998364,-1.48468e-010
998365,-2.11458e-010
998366,-1.53738e-010
998367,-1.70833e-010
998368,-1.24081e-010
998369,-1.21201e-010
998370,-1.73039e-010
998371,-1.26777e-010
998372,-8.7071e-011
998373,-1.32292e-010
998374,-1.56679e-010
998375,-2.01103e-010
998376,-1.9136e-010
998377,-1.14461e-010
998378,-2.15012e-010
998379,-1.33088e-010
998380,-1.61458e-010
998381,-1.78922e-010
998382,-1.17831e-010
998383,-1.52022e-010
998384,-2.60662e-010
998385,-1.14828e-010
998386,-1.50123e-010
998387,-1.26164e-010
998388,-1.30208e-010
998389,-1.76532e-010
998390,-1.21201e-010
998391,-1.79044e-010
998392,-1.51348e-010
998393,-1.65993e-010
998394,-1.04534e-010
998395,-1.61152e-010
998396,-1.6973e-010
998397,-1.4663e-010
998398,-1.23774e-010
998399,-1.5337e-010
998400,-2.18137e-010
998401,-1.29105e-010
998402,-1.5864e-010
998403,-1.79534e-010
998404,-3.42953e-010
998405,-1.22672e-010
998406,-1.18873e-010
998407,-1.50919e-010
998408,-2.05024e-010
998409,-1.01287e-010
998410,-1.26593e-010
998411,-1.42402e-010
998412,-1.61274e-010
998413,-2.04963e-010
998414,-2.28431e-010
998415,-1.48958e-010
998416,-1.42647e-010
998417,-1.28186e-010
998418,-1.56434e-010
998419,-1.73591e-010
998420,-2.18076e-010
998421,-1.87316e-010
998422,-1.57047e-010
998423,-1.84314e-010
998424,-1.96507e-010
998425,-1.75797e-010
998426,-3.21875e-010
998427,-1.36336e-010
998428,-1.75306e-010
998429,-1.54228e-010
998430,-1.09252e-010
998431,-1.48162e-010
998432,-1.56863e-010
998433,-1.67402e-010
998434,-1.39522e-010
998435,-3.47672e-010
998436,-1.37377e-010
998437,-2.33456e-010
998438,-1.78309e-010
998439,-1.39154e-010
998440,-1.85723e-010
998441,-1.98652e-010
998442,-1.7788e-010
998443,-1.6299e-010
998444,-1.51042e-010
998445,-1.58456e-010
998446,-1.16483e-010
998447,-3.19179e-010
998448,-1.11091e-010
998449,-1.15196e-010
998450,-2.28738e-010
998451,-2.47733e-010
998452,-2.14277e-010
998453,-9.72426e-011
998454,-1.81005e-010
998455,-1.42279e-010
998456,-2.74142e-010
998457,-1.60233e-010
998458,-1.50674e-010
998459,-1.25797e-010
998460,-1.46875e-010
998461,-1.40196e-010
998462,-1.99694e-010
998463,-1.22794e-010
998464,-1.6348e-010
998465,-4.56495e-011
998466,-8.11274e-011
998467,-1.50061e-010
998468,-1.9136e-010
998469,-1.32108e-010
998470,-1.62071e-010
998471,-1.40809e-010
998472,-1.88297e-010
998473,-1.67892e-010
998474,-1.41728e-010
998475,-1.1875e-010
998476,-2.02941e-010
998477,-1.25674e-010
998478,-1.51348e-010
998479,-3.16912e-010
998480,-1.65074e-010
998481,-1.25184e-010
998482,-1.90993e-010
998483,-1.28309e-010
998484,-1.56373e-010
998485,-1.32782e-010
998486,-2.85172e-010
998487,-1.65196e-010
998488,-1.94547e-010
998489,-1.5576e-010
998490,-1.82475e-010
998491,-2.52206e-010
998492,-1.49387e-010
998493,-1.91115e-010
998494,-1.44914e-010
998495,-2.98836e-010
998496,-1.80821e-010
998497,-1.83517e-010
998498,-2.15993e-010
998499,-1.81679e-010
998500,-1.81985e-010
998501,-1.31066e-010
998502,-1.69301e-010
998503,-2.07169e-010
998504,-2.07414e-010
998505,-1.21201e-010
998506,-1.57353e-010
998507,-1.18627e-010
998508,-1.32353e-010
998509,-1.56127e-010
998510,-1.87745e-010
998511,-1.22917e-010
998512,-1.43627e-010
998513,-7.22426e-011
998514,-1.67831e-010
998515,-1.33272e-010
998516,-1.46814e-010
998517,-1.44485e-010
998518,-2.43321e-010
998519,-1.18934e-010
998520,-1.34988e-010
998521,-3.09865e-010
998522,-1.27267e-010
998523,-1.62132e-010
998524,-1.12132e-010
998525,-1.36213e-010
998526,-1.20282e-010
998527,-1.24265e-010
998528,-1.8462e-010
998529,-3.43137e-010
998530,-2.18566e-010
998531,-1.47794e-010
998532,-1.37868e-010
998533,-1.71507e-010
998534,-1.42218e-010
998535,-1.6489e-010
998536,-1.69547e-010
998537,-1.68505e-010
998538,-1.21507e-010
998539,-1.28002e-010
998540,-9.90808e-011
998541,-1.95772e-010
998542,-1.10846e-010
998543,-1.12745e-010
998544,-1.3174e-010
998545,-2.30147e-010
998546,-1.2788e-010
998547,-1.2549e-010
998548,-1.28554e-010
