LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1307
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2012 14:07:50,0                 
Time,Ampl
998693,-2.87745e-010
998694,-3.55882e-010
998695,-2.94118e-010
998696,-1.77843e-009
998697,-8.06373e-010
998698,-1.07794e-009
998699,-1.53088e-009
998700,-1.88064e-009
998701,-4.60049e-010
998702,-7.23775e-010
998703,-2.95343e-010
998704,-8.56373e-010
998705,-4.84314e-010
998706,-6.43137e-010
998707,-6.88235e-010
998708,-4.06373e-010
998709,-1.11936e-009
998710,-1.24167e-009
998711,-5.82598e-010
998712,-4.16176e-010
998713,-1.05343e-009
998714,-5.86765e-010
998715,-4.28676e-010
998716,-8.84559e-010
998717,-1.31838e-009
998718,-7.70588e-010
998719,-3.83333e-010
998720,-5.42402e-010
998721,-1.13358e-009
998722,-5.46324e-010
998723,-8.77451e-010
998724,-1.58799e-009
998725,-4.42892e-010
998726,-1.7701e-009
998727,-1.07623e-009
998728,-9.81863e-010
998729,-1.0527e-009
998730,-9.60294e-010
998731,-5.66422e-010
998732,-5.41422e-010
998733,-8.37745e-010
998734,-3.20098e-010
998735,-9.91422e-010
998736,-3.07108e-010
998737,-3.43872e-010
998738,-4.79167e-010
998739,-6.27696e-010
998740,-3.07108e-010
998741,-5.53186e-010
998742,-6.54657e-010
998743,-7.46324e-010
998744,-1.34976e-009
998745,-8.57598e-010
998746,-1.27132e-009
998747,-6.31618e-010
998748,-1.10686e-009
998749,-5.96324e-010
998750,-8.15932e-010
998751,-3.39461e-010
998752,-3.40441e-010
998753,-3.53431e-010
998754,-1.15368e-009
998755,-3.58578e-010
998756,-7.33824e-010
998757,-8.13726e-010
998758,-9.47794e-010
998759,-7.90931e-010
998760,-5.44363e-010
998761,-2.85294e-010
998762,-9.23039e-010
998763,-8.39951e-010
998764,-1.35368e-009
998765,-7.18382e-010
998766,-5.78186e-010
998767,-3.32598e-010
998768,-1.7902e-009
998769,-3.97549e-010
998770,-3.03676e-010
998771,-7.70098e-010
998772,-5.17402e-010
998773,-6.65196e-010
998774,-7.38726e-010
998775,-8.04902e-010
998776,-7.43628e-010
998777,-3.97549e-010
998778,-5.2451e-010
998779,-1.04069e-009
998780,-1.55539e-009
998781,-1.19902e-009
998782,-3.42157e-010
998783,-4.51471e-010
998784,-8.39216e-010
998785,-7.61275e-010
998786,-6.02696e-010
